"CELEB","MOVIE"
"Christian Slater","Bed of Roses"
"Christian Slater","Hollow Man 2"
"Christian Slater","Slipstream"
"Christian Slater","Bobby"
"Christian Slater","He Was a Quiet Man"
"Christian Slater","Heathers"
"Christian Slater","True Romance"
"Christian Slater","Pump Up the Volume"
"Christian Slater","Who is Cletis Tout?"
"Christian Slater","Mobsters"
"Christian Slater","3000 Miles to Graceland"
"Christian Slater","Hard Cash"
"Christian Slater","Hard Rain"
"Christian Slater","Beyond the Stars"
"Christian Slater","Quantum Quest: A Cassini Space Odyssey"
"Christian Slater","Operation: Jet Fusion"
"Christian Slater","Austin Powers: International Man of Mystery"
"Christian Slater","The Legend of Billie Jean"
"Christian Slater","Alone in the Dark"
"Christian Slater","Mindhunters"
"Christian Slater","Love Lies Bleeding"
"Christian Slater","The Deal"
"Christian Slater","FernGully: The Last Rainforest"
"Christian Slater","Murder in the First"
"Christian Slater","Julian Po"
"Christian Slater","Jimmy Hollywood"
"Christian Slater","The Wizard"
"Christian Slater","The Confessor"
"Christian Slater","Churchill: The Hollywood Years"
"Christian Slater","The Ten Commandments"
"Christian Slater","Broken Arrow"
"Christian Slater","Interview with the Vampire: The Vampire Chronicles"
"Matt Damon","Saving Private Ryan"
"Matt Damon","Syriana"
"Matt Damon","Good Will Hunting"
"Matt Damon","The Brothers Grimm"
"Matt Damon","The Talented Mr. Ripley"
"Matt Damon","EuroTrip"
"Matt Damon","Titan A.E."
"Matt Damon","The Good Shepherd"
"Matt Damon","Imperial Life in the Emerald City"
"Matt Damon","The Bourne Supremacy"
"Matt Damon","The Human Factor"
"Matt Damon","Ocean's Thirteen"
"Matt Damon","Confessions of a Dangerous Mind"
"Matt Damon","The Bourne Identity"
"Matt Damon","Running the Sahara"
"Matt Damon","Courage Under Fire"
"Matt Damon","Mystic Pizza"
"Matt Damon","Dogma"
"Matt Damon","Margaret"
"Matt Damon","Stuck On You"
"Matt Damon","Push, Nevada"
"Matt Damon","Chasing Amy"
